Transaction_ID,Deposit_Date,Amount,ACH_Transit_Route_No,ACH_Originating_Bank,Depositor_Name_String,Reconciliation_Rank_Match
800001,2026-08-15,3060.0,031000053,Trust National Bank,UPT-BATCH-33-0001,Rank 1 (Route & Amount Match)
800002,2026-08-15,1020.0,031000053,Trust National Bank,UPT-BATCH-33-0001,Rank 1 (Route & Amount Match)
800003,2026-08-15,10200.0,031000053,Trust National Bank,UPT-BATCH-33-0001,Rank 1 (Route & Amount Match)
800004,2026-08-15,2190.0,031000503,Keystone Federal,UPT-BATCH-33-0002,Rank 1 (Route & Amount Match)
800005,2026-08-15,730.0,031000503,Keystone Federal,UPT-BATCH-33-0002,Rank 1 (Route & Amount Match)
800006,2026-08-20,2767.5,031201509,Fidelity Union Bank,OAKRTRANAUTH ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800007,2026-08-20,922.5,031201509,Fidelity Union Bank,OAKRTRANAUTH ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800008,2026-08-20,9225.0,031201509,Fidelity Union Bank,OAKRTRANAUTH ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800009,2026-08-15,925.0,031100121,Pinnacle Bank,RIVEVALLSCHODIST ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800010,2026-08-15,5314.4,031302804,Summit Bank,BLUERIDGTRANCONS ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800011,2026-08-15,3623.09,031302804,Summit Bank,BLUERIDGTRANCONS ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800012,2026-08-15,1800.0,031000011,Metro Commerce Bank,SUMMMUNIWATE ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800013,2026-09-15,3060.0,031000053,Trust National Bank,UPT-BATCH-33-0001,Rank 1 (Route & Amount Match)
800014,2026-09-15,1020.0,031000053,Trust National Bank,UPT-BATCH-33-0001,Rank 1 (Route & Amount Match)
800015,2026-09-15,10200.0,031000053,Trust National Bank,UPT-BATCH-33-0001,Rank 1 (Route & Amount Match)
800016,2026-08-28,2190.0,031000503,Keystone Federal,PINECREETOWN ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800017,2026-08-28,730.0,031000503,Keystone Federal,PINECREETOWN ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800018,2026-09-15,3075.0,031201509,Fidelity Union Bank,UPT-BATCH-35-0001,Rank 1 (Route & Amount Match)
800019,2026-09-15,1025.0,031201509,Fidelity Union Bank,UPT-BATCH-35-0001,Rank 1 (Route & Amount Match)
800020,2026-09-15,10250.0,031201509,Fidelity Union Bank,UPT-BATCH-35-0001,Rank 1 (Route & Amount Match)
800021,2026-09-15,925.0,031100121,Pinnacle Bank,RIVEVALLSCHODIST ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800022,2026-09-15,5565.57,031302804,Summit Bank,BLUERIDGTRANCONS ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800023,2026-09-15,4467.5,031302804,Summit Bank,BLUERIDGTRANCONS ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800024,2026-09-15,1800.0,031000011,Metro Commerce Bank,SUMMMUNIWATE ACH DISB PMT,Rank 2 (Bank Name & Amount Match)
800025,2026-08-15,160.0,031000216,State Employees CU,"DAVIS, M COBRA PMT",Rank 3 (Edit-Distance Name Match)
800026,2026-08-15,60.0,031000216,State Employees CU,"GARCIA, T COBRA PMT",Rank 3 (Edit-Distance Name Match)
800027,2026-08-15,120.0,031000216,State Employees CU,"HERNANDEZ, J COBRA PMT",Rank 3 (Edit-Distance Name Match)
800028,2026-08-15,160.0,031000216,State Employees CU,"JACKSON, D COBRA PMT",Rank 3 (Edit-Distance Name Match)
800029,2026-08-15,160.0,031000216,State Employees CU,"GARCIA, S COBRA PMT",Rank 3 (Edit-Distance Name Match)
800030,2026-08-15,120.0,031000216,State Employees CU,"WHITE, J COBRA PMT",Rank 3 (Edit-Distance Name Match)
800031,2026-08-15,160.0,031000216,State Employees CU,"GARCIA, R COBRA PMT",Rank 3 (Edit-Distance Name Match)
800032,2026-08-15,160.0,031000216,State Employees CU,"MARTIN, P COBRA PMT",Rank 3 (Edit-Distance Name Match)
800033,2026-08-15,120.0,031000216,State Employees CU,"MARTINEZ, T COBRA PMT",Rank 3 (Edit-Distance Name Match)
800034,2026-08-15,160.0,031000216,State Employees CU,"THOMPSON, D COBRA PMT",Rank 3 (Edit-Distance Name Match)
