Subscriber_ID,Group_ID,Last_Name,First_Name,Fake_SSN,Date_of_Birth,Status,Is_COBRA,COBRA_Sub_Type,COBRA_Elig_Date,COBRA_Elig_End_Date,Paid_To_Date,Coverage_Effective_Date,Gender,Billing_Tier_Code,Billing_Tier_Label
10001,101,Garcia,Jennifer,999-41-8281,1974-12-18,Active,N,,,,2026-09-30,2020-10-02,F,3,Single Coverage
10002,101,Garcia,Michael,999-12-5461,1978-02-23,Active,N,,,,2026-09-30,2021-07-18,M,1,Family Coverage
10003,101,Rodriguez,John,999-31-4798,1994-06-25,Active,N,,,,2026-09-30,2021-12-20,M,1,Family Coverage
10004,101,Moore,Charles,999-82-1577,1974-06-27,Active,N,,,,2026-09-30,2020-10-02,M,1,Family Coverage
10005,101,Jones,Jennifer,999-38-9723,1961-01-15,Active,N,,,,2026-09-30,2021-01-20,F,1,Family Coverage
10006,101,Davis,Jennifer,999-88-8793,1981-02-24,Active,N,,,,2026-09-30,2021-01-11,F,1,Family Coverage
10007,101,White,David,999-87-2209,1996-10-24,Active,N,,,,2026-09-30,2023-05-15,M,3,Single Coverage
10008,101,Martinez,David,999-77-4501,1975-06-19,Active,N,,,,2026-09-30,2021-04-01,M,3,Single Coverage
10009,101,Williams,Jennifer,999-80-6570,1999-02-28,Active,N,,,,2026-09-30,2020-12-27,F,3,Single Coverage
10010,101,Davis,Michael,999-66-2646,1983-05-14,Active,Y,Dependent,2026-04-16,2027-10-08,2026-09-30,2021-04-08,M,1,Family Coverage
10011,101,Johnson,Patricia,999-89-2868,1968-05-26,Active,N,,,,2026-09-30,2020-05-30,F,3,Single Coverage
10012,101,Martinez,James,999-81-2550,1991-04-04,Active,N,,,,2026-09-30,2021-05-30,M,1,Family Coverage
10013,101,Anderson,John,999-63-8828,1971-04-22,Active,N,,,,2026-09-30,2022-03-28,M,1,Family Coverage
10014,101,Hernandez,James,999-83-2665,1976-12-28,Active,N,,,,2026-09-30,2021-01-21,M,2,Member & Spouse
10015,101,Davis,Barbara,999-97-3076,1999-12-29,Active,N,,,,2026-09-30,2023-09-15,F,3,Single Coverage
10016,101,Wilson,Jennifer,999-75-1485,1999-06-22,Active,N,,,,2026-09-30,2023-04-10,F,3,Single Coverage
10017,101,Anderson,Patricia,999-19-9797,1999-10-01,Active,N,,,,2026-09-30,2020-08-27,F,3,Single Coverage
10018,101,Moore,Sarah,999-53-8072,1960-10-03,Active,N,,,,2026-09-30,2020-11-09,F,1,Family Coverage
10019,101,Martinez,Mary,999-50-8691,1992-11-03,Active,N,,,,2026-09-30,2021-01-11,F,1,Family Coverage
10020,101,Smith,Patricia,999-79-7108,1978-11-16,Active,N,,,,2026-09-30,2023-03-11,F,1,Family Coverage
10021,101,Anderson,Mary,999-53-9732,1966-03-03,Active,N,,,,2026-09-30,2021-02-15,F,1,Family Coverage
10022,101,White,John,999-43-5302,1978-12-11,Active,N,,,,2026-09-30,2022-07-17,M,1,Family Coverage
10023,101,Garcia,Thomas,999-69-4811,1990-12-18,Active,N,,,,2026-09-30,2020-10-14,M,1,Family Coverage
10024,101,Thomas,Sarah,999-19-8635,1960-01-29,Active,N,,,,2026-09-30,2020-01-03,F,2,Member & Spouse
