Dependent_ID,Subscriber_ID,Relationship,Last_Name,First_Name,Date_of_Birth,Student_Cert_Expiry,Is_Eligible
50001,10002,Spouse,Garcia,Elizabeth,1976-09-02,,Y
50002,10002,Child,Garcia,Michael,2010-02-02,,Y
50003,10003,Spouse,Rodriguez,Sarah,1991-11-13,,Y
50004,10003,Child,Rodriguez,James,2016-07-09,,Y
50005,10003,Child,Rodriguez,Patricia,2019-12-10,,Y
50006,10004,Child,Moore,Jennifer,2012-06-19,,Y
50007,10004,Child,Moore,Thomas,2010-01-18,,Y
50008,10004,Child,Moore,Mary,2018-01-22,,Y
50009,10005,FT Student,Jones,Susan,2002-03-24,2027-06-30,Y
50010,10005,FT Student,Jones,Jennifer,2003-12-04,2027-06-30,Y
50011,10005,Child,Jones,Michael,2012-01-17,,Y
50012,10006,Child,Davis,Jessica,2009-12-13,,Y
50013,10006,Child,Davis,William,2011-11-17,,Y
50014,10010,Spouse,Davis,Patricia,1981-10-28,,Y
50015,10010,Child,Davis,Thomas,2021-11-14,,Y
50016,10010,Child,Davis,Elizabeth,2024-04-19,,Y
50017,10010,Child,Davis,James,2024-02-14,,Y
50018,10012,Spouse,Martinez,Susan,1989-04-02,,Y
50019,10012,Child,Martinez,Thomas,2013-11-19,,Y
50020,10013,Spouse,Anderson,Sarah,1968-07-07,,Y
50021,10013,Child,Anderson,William,2009-05-21,,Y
50022,10013,Child,Anderson,Robert,2023-04-27,,Y
50023,10013,Child,Anderson,Thomas,2020-11-10,,Y
50024,10014,Same-Sex Spouse,Hernandez,Jessica,1975-02-14,,Y
50025,10018,Child,Moore,Karen,2016-04-30,,Y
50026,10018,FT Student,Moore,Linda,2002-06-05,2027-06-30,Y
50027,10019,Spouse,Martinez,John,1991-03-01,,Y
50028,10019,Child,Martinez,Elizabeth,2011-02-18,,Y
50029,10019,Child,Martinez,Sarah,2020-12-02,,Y
50030,10019,Child,Martinez,Richard,2015-06-28,,Y
50031,10020,Spouse,Smith,Joseph,1977-11-19,,Y
50032,10020,Child,Smith,Richard,2025-03-13,,Y
50033,10020,FT Student,Smith,Michael,2005-11-28,2027-06-30,Y
50034,10021,Spouse,Anderson,Michael,1964-05-07,,Y
50035,10021,Child,Anderson,Thomas,2024-11-13,,Y
50036,10022,Spouse,White,Jessica,1982-10-02,,Y
50037,10022,Child,White,Charles,2013-03-03,,Y
50038,10022,Child,White,Linda,2022-05-18,,Y
50039,10022,Child,White,Jennifer,2012-01-15,,Y
50040,10023,Child,Garcia,Jennifer,2019-07-02,,Y
50041,10023,Child,Garcia,Robert,2020-01-21,,Y
50042,10023,Child,Garcia,Joseph,2021-11-24,,Y
50043,10024,Spouse,Thomas,Charles,1962-02-23,,Y
50044,10026,Spouse,Jones,William,1991-12-06,,Y
50045,10026,Child,Jones,Michael,2012-02-10,,Y
50046,10026,Child,Jones,Mary,2024-02-03,,Y
50047,10028,Spouse,Wilson,Linda,1975-01-01,,Y
50048,10028,Child,Wilson,Richard,2018-01-05,,Y
50049,10028,FT Student,Wilson,Thomas,2001-04-21,2027-06-30,Y
50050,10028,Child,Wilson,Barbara,2013-02-07,,Y
50051,10029,Child,Brown,Jennifer,2014-07-06,,Y
50052,10029,Child,Brown,David,2024-03-16,,Y
50053,10029,Child,Brown,John,2013-06-21,,Y
50054,10031,Spouse,Johnson,Elizabeth,1967-11-07,,Y
50055,10031,FT Student,Johnson,Elizabeth,2002-08-01,2027-06-30,Y
